"date","newCases","city"
2021-06-01,152,"Stockholm"
2021-06-02,208,"Stockholm"
2021-06-03,221,"Stockholm"
2021-06-04,241,"Stockholm"
2021-06-05,241,"Stockholm"
2021-06-06,241,"Stockholm"
2021-06-07,203,"Stockholm"
2021-06-08,223,"Stockholm"
2021-06-09,137,"Stockholm"
2021-06-10,117,"Stockholm"
2021-06-11,114,"Stockholm"
2021-06-12,114,"Stockholm"
2021-06-13,114,"Stockholm"
2021-06-14,100,"Stockholm"
2021-06-15,80,"Stockholm"
2021-06-16,58,"Stockholm"
2021-06-17,44,"Stockholm"
2021-06-18,82,"Stockholm"
2021-06-19,82,"Stockholm"
2021-06-20,82,"Stockholm"
2021-06-21,56,"Stockholm"
2021-06-22,80,"Stockholm"
2021-06-23,90,"Stockholm"
2021-06-24,99,"Stockholm"
2021-06-25,43,"Stockholm"
2021-06-26,43,"Stockholm"
2021-06-27,43,"Stockholm"
2021-06-28,43,"Stockholm"
2021-06-29,44,"Stockholm"
2021-06-30,42,"Stockholm"
2021-07-01,41,"Stockholm"
2021-07-02,49,"Stockholm"
2021-07-03,49,"Stockholm"
2021-07-04,49,"Stockholm"
2021-07-05,49,"Stockholm"
2021-07-06,56,"Stockholm"
2021-07-07,61,"Stockholm"
2021-07-08,63,"Stockholm"
2021-07-09,64,"Stockholm"
2021-07-10,64,"Stockholm"
2021-07-11,64,"Stockholm"
2021-07-12,64,"Stockholm"
2021-07-13,68,"Stockholm"
2021-07-14,71,"Stockholm"
2021-07-15,77,"Stockholm"
2021-07-16,87,"Stockholm"
2021-07-17,87,"Stockholm"
2021-07-18,87,"Stockholm"
2021-07-19,87,"Stockholm"
2021-07-20,112,"Stockholm"
2021-07-21,112,"Stockholm"
2021-07-22,131,"Stockholm"
2021-07-23,136,"Stockholm"
2021-07-24,136,"Stockholm"
2021-07-25,136,"Stockholm"
2021-07-26,136,"Stockholm"
2021-07-27,161,"Stockholm"
2021-07-28,172,"Stockholm"
2021-07-29,161,"Stockholm"
2021-07-30,170,"Stockholm"
2021-07-31,170,"Stockholm"
2021-08-01,170,"Stockholm"
2021-08-02,170,"Stockholm"
2021-08-03,202,"Stockholm"
